SCI Electric PCL | Income Statement                                25-Sep-2024 17:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"14,310 ","64,589 ","127,187 ","120,423 ","68,238 ","74,835 ","46,660 ","(2,680)","(4,803)","(3,580)","57,044 ","113,856 ","6,357 ","3,027 ","33,406 ","(22,292)","(23,194)","21,026 ","(7,213)","(36,088)","(20,870)","(48,256)","(32,362)","(33,337)","14,142 ","2,946 ","1,394 ","(199,121)","8,633 ","(15,105)","8,765 ","1,161 ","(39,876)","(56,945)","(58,402)","(44,464)","(36,277)","(47,626)","(12,862)","(462,201)","(31,905)","(18,579)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"14,310 ","64,589 ","127,187 ","120,423 ","68,238 ","74,835 ","46,660 ","(2,680)","(4,803)","(3,580)","57,044 ","113,856 ","6,357 ","3,027 ","33,406 ","(22,292)","(23,194)","21,026 ","(7,213)","(36,088)","(20,870)","(48,256)","(32,362)","(33,337)","14,142 ","2,946 ","1,394 ","(199,121)","8,633 ","(15,105)","8,765 ","1,161 ","(39,876)","(56,945)","(58,402)","(44,464)","(36,277)","(47,626)","(12,862)","(462,201)","(31,905)","(18,579)"
Income Available to Com Incl ExtraOrd,"14,310 ","64,589 ","127,187 ","120,423 ","68,238 ","74,835 ","46,660 ","(2,680)","(4,803)","(3,580)","57,044 ","113,856 ","6,357 ","3,027 ","33,406 ","(22,292)","(23,194)","21,026 ","(7,213)","(36,088)","(20,870)","(48,256)","(32,362)","(33,337)","14,142 ","2,946 ","1,394 ","(199,121)","8,633 ","(15,105)","8,765 ","1,161 ","(39,876)","(56,945)","(58,402)","(44,464)","(36,277)","(47,626)","(12,862)","(462,201)","(31,905)","(18,579)"
Basic Weighted Average Shares,"165,000 ","165,000 ","165,000 ","165,000 ","165,000 ","536,291 ","562,500 ","738,306 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","758,242 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Basic EPS Excluding Extraordinary Items,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.62),(0.04),(0.02)
Basic EPS Including Extraordinary Items,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.62),(0.04),(0.02)
Diluted Net Income,"14,310 ","64,589 ","127,187 ","120,423 ","68,238 ","74,835 ","46,660 ","(2,680)","(4,803)","(3,580)","57,044 ","113,856 ","6,357 ","3,027 ","33,406 ","(22,292)","(23,194)","21,026 ","(7,213)","(36,088)","(20,870)","(48,256)","(32,362)","(33,337)","14,142 ","2,946 ","1,394 ","(199,121)","8,633 ","(15,105)","8,765 ","1,161 ","(39,876)","(56,945)","(58,402)","(44,464)","(36,277)","(47,626)","(12,862)","(462,201)","(31,905)","(18,579)"
Diluted Weighted Average Shares,"165,000 ","165,000 ","165,000 ","165,000 ","165,000 ","536,291 ","562,500 ","738,306 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","758,242 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Diluted EPS Excluding ExtraOrd Items,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.62),(0.04),(0.02)
Diluted EPS Including ExtraOrd Items,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.62),(0.04),(0.02)
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,--,0 ,0 ,0 ,"75,000 ",0 ,0 ,0 ,"37,500 ",0 ,0 ,0 ,"37,500 ",0 ,0 ,0 ,"37,500 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,181)",0 ,0 ,"432,335 ",--,--
Normalized Income Before Taxes,"19,449 ","82,618 ","163,321 ","152,027 ","83,784 ","86,261 ","62,706 ","(7,499)","2,095 ","1,470 ","67,535 ","131,281 ","10,698 ","9,185 ","40,725 ","(20,682)","(23,387)","21,835 ","(5,745)","(39,498)","(17,796)","(54,284)","(33,259)","(31,790)","15,316 ","8,581 ","5,104 ","(198,842)","14,557 ","(17,439)","13,547 ","(3,640)","(40,705)","(59,268)","(58,510)","(43,984)","(44,471)","(48,418)","(13,653)","(51,745)","(32,379)","(19,298)"
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,513)",0 ,0 ,"151,317 ",--,--
Inc Tax Ex Impact of Sp Items,"5,139 ","18,029 ","36,136 ","31,601 ","15,546 ","11,425 ","16,046 ","(4,820)","6,898 ","5,050 ","10,522 ","17,496 ","4,435 ","6,267 ","7,459 ","1,807 ",(108),"1,017 ","1,774 ","(2,761)","3,620 ","(5,239)",(185),"2,131 ","1,802 ","6,329 ","4,270 ",719 ,"6,530 ","(1,851)","5,146 ","(4,398)",(395),(152),633 ,(978),"(2,969)",(302),(205),"146,309 ",(52),(199)
Normalized Income After Taxes,"14,310 ","64,589 ","127,185 ","120,426 ","68,239 ","74,836 ","46,660 ","(2,679)","(4,803)","(3,580)","57,013 ","113,785 ","6,263 ","2,918 ","33,266 ","(22,489)","(23,279)","20,818 ","(7,519)","(36,737)","(21,416)","(49,044)","(33,074)","(33,921)","13,514 ","2,252 ",834 ,"(199,561)","8,028 ","(15,588)","8,401 ",758 ,"(40,309)","(59,116)","(59,143)","(43,005)","(41,502)","(48,115)","(13,447)","(198,054)","(32,328)","(19,099)"
Normalized Inc. Avail to Com.,"14,310 ","64,589 ","127,187 ","120,423 ","68,238 ","74,835 ","46,660 ","(2,680)","(4,803)","(3,580)","57,044 ","113,856 ","6,357 ","3,027 ","33,406 ","(22,292)","(23,194)","21,026 ","(7,213)","(36,088)","(20,870)","(48,256)","(32,362)","(33,337)","14,142 ","2,946 ","1,394 ","(199,121)","8,633 ","(15,105)","8,765 ","1,161 ","(39,876)","(56,945)","(58,402)","(44,464)","(40,945)","(47,626)","(12,862)","(181,183)","(31,905)","(18,579)"
Basic Normalized EPS,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.24),(0.04),(0.02)
Diluted Normalized EPS,0.09 ,0.39 ,0.77 ,0.73 ,0.41 ,0.14 ,0.08 ,0.00 ,(0.01),0.00 ,0.08 ,0.15 ,0.01 ,0.00 ,0.04 ,(0.03),(0.03),0.03 ,(0.01),(0.05),(0.03),(0.06),(0.04),(0.04),0.02 ,0.00 ,0.00 ,(0.27),0.01 ,(0.02),0.01 ,0.00 ,(0.05),(0.08),(0.08),(0.06),(0.05),(0.06),(0.02),(0.24),(0.04),(0.02)
"Amort of Intangibles, Supplemental",--,256 ,--,"9,782 ","2,507 ",267 ,370 ,"11,536 ","3,171 ","3,148 ","3,147 ","3,241 ","3,324 ","3,303 ","3,270 ","3,241 ","3,065 ","3,132 ","3,245 ","3,271 ","3,043 ","3,119 ","2,998 ","2,710 ","2,723 ","2,690 ","2,608 ","2,517 ","2,361 ","2,448 ","2,623 ","2,655 ","2,581 ","2,701 ","3,057 ","2,849 ","2,594 ","2,661 ","2,749 ","2,724 ","2,688 ","2,756 "
"Depreciation, Supplemental",--,"4,046 ","4,831 ","4,649 ","4,666 ","4,998 ","5,241 ","5,150 ","5,154 ","5,212 ","5,484 ","5,657 ","6,336 ","6,319 ","6,406 ","6,199 ","6,044 ","6,556 ","6,640 ","9,810 ","13,427 ","13,714 ","13,877 ","10,455 ","11,288 ","11,422 ","11,416 ","8,963 ","11,110 ","11,470 ","12,041 ","11,857 ","10,759 ","11,355 ","11,579 ","11,318 ","10,470 ","10,497 ","10,897 ","10,466 ","5,991 ","6,094 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,777 ,797 ,777 ,784 ,732 ,744 ,782 ,779 ,686 ,697 ,692 ,700 ,125 ,138 
"Interest Expense, Supplemental","6,087 ","6,192 ","6,287 ","9,086 ","6,539 ","6,178 ","7,208 ","4,399 ","4,005 ","2,870 ","4,898 ","2,623 ","1,593 ","1,058 ","1,135 ",--,361 ,753 ,770 ,"5,539 ","6,429 ","6,209 ","5,782 ","5,680 ","5,734 ","5,779 ","4,569 ","4,587 ","4,538 ","3,925 ","3,721 ","3,768 ","3,670 ","4,611 ","5,954 ","6,969 ","8,089 ","8,547 ","9,473 ","2,781 ","12,321 ","12,536 "
"Interest Expense on Lease Liabs., Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57 ,45 ,46 ,108 ,38 ,36 ,31 ,31 ,28 ,23 ,19 ,15 ,14 ,22 ,22 ,21 ,19 ,17 ,16 ,14 ,--,--
Labor & Related Expense Suppl.,--,--,--,--,"59,832 ","60,485 ","58,109 ",--,"59,561 ","59,099 ","61,127 ","66,203 ",--,--,--,--,"70,302 ","74,025 ","75,997 ","62,392 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Equity in Affiliates, Supplemental",--,--,--,--,--,0 ,0 ,--,(192),"(1,389)","(2,077)","(2,594)","(2,095)","(3,035)",(711),"(2,606)","(2,704)","(2,670)","(2,524)","(2,082)",980 ,467 ,"(3,515)","(4,212)","(1,004)",(692),(829),"(2,198)",(911),(475),"(2,544)","(2,018)",(280),(431),235 ,"(1,534)",592 ,"(6,265)","(3,106)",226 ,"(1,300)","(2,967)"
"Minority Interest, Supplemental",0 ,0 ,2 ,(3),0 ,(1),0 ,(1),0 ,0 ,31 ,71 ,94 ,109 ,140 ,197 ,85 ,208 ,306 ,649 ,545 ,789 ,712 ,583 ,628 ,693 ,560 ,440 ,606 ,484 ,364 ,403 ,433 ,"2,171 ",742 ,"(1,459)",558 ,489 ,585 ,"16,871 ",423 ,520 
Normalized EBIT,"25,536 ","88,810 ","169,608 ","161,113 ","90,323 ","92,439 ","69,915 ","(3,100)","6,292 ","5,729 ","74,510 ","136,497 ","14,386 ","13,278 ","42,571 ","(23,554)","(24,458)","20,900 ","(11,879)","(35,910)","(14,030)","(50,755)","(25,741)",557 ,"(12,963)","14,335 ",(731),"(1,212)","19,070 ","(13,769)","18,816 ","1,370 ","(37,101)","(54,754)","(53,068)","(35,705)","(36,983)","(33,625)","(1,121)","(35,602)","(18,793)","(4,261)"
Normalized EBITDA,--,"93,113 ","174,438 ","175,544 ","97,496 ","97,704 ","75,526 ","13,585 ","14,617 ","14,089 ","83,141 ","145,396 ","24,046 ","22,900 ","52,248 ","(14,114)","(15,348)","30,588 ","(1,994)","(22,830)","2,439 ","(33,922)","(8,866)","13,722 ","1,048 ","28,447 ","13,292 ","10,268 ","32,542 ",149 ,"33,480 ","15,882 ","(23,761)","(40,698)","(38,432)","(21,538)","(23,920)","(20,468)","12,524 ","(22,412)","(10,114)","4,588 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,"4,581 ","17,913 ","36,139 ","33,526 ","15,336 ","10,640 ","16,258 ","(5,149)","6,748 ","4,973 ","10,354 ","17,456 ","4,064 ","6,211 ","6,133 ",532 ,143 ,"3,799 ","1,856 ","(3,156)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Current Tax - Total,"4,581 ","17,913 ","36,139 ","33,526 ","15,336 ","10,640 ","16,258 ","(5,149)","6,748 ","4,973 ","10,354 ","17,456 ","4,064 ","6,211 ","6,133 ",532 ,143 ,"3,799 ","1,856 ","(3,156)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,558 ,116 ,(4),"(1,925)",209 ,785 ,(212),329 ,150 ,77 ,168 ,40 ,371 ,56 ,"1,326 ","1,275 ",(251),"(2,783)",(81),395 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Domestic,--,--,--,--,--,--,--,329 ,--,--,--,40 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,558 ,116 ,(4),"(1,925)",209 ,785 ,(212),--,150 ,77 ,168 ,--,371 ,56 ,"1,326 ","1,275 ",(251),"(2,783)",(81),395 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Tax - Total,"5,139 ","18,029 ","36,136 ","31,601 ","15,546 ","11,425 ","16,046 ","(4,820)","6,898 ","5,050 ","10,522 ","17,496 ","4,435 ","6,267 ","7,459 ","1,807 ",(108),"1,017 ","1,774 ","(2,761)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Domestic Pension Plan Expense,--,--,--,--,--,--,737 ,"2,504 ","1,273 ","1,268 ","1,268 ","28,896 ","1,369 ","1,369 ","1,369 ",--,--,--,"1,929 ","1,912 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Cost - Domestic,--,--,--,--,--,--,272 ,(163),179 ,176 ,176 ,"3,841 ",196 ,196 ,196 ,--,--,--,246 ,242 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,465 ,"2,667 ","1,094 ","1,092 ","1,092 ","25,055 ","1,173 ","1,173 ","1,173 ",--,--,--,"1,683 ","1,670 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,737 ,"2,504 ","1,273 ","1,268 ","1,268 ","28,896 ","1,369 ","1,369 ","1,369 ",--,--,--,"1,929 ","1,912 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Interest Cost,--,--,--,--,--,--,272 ,(163),179 ,176 ,176 ,"3,841 ",196 ,196 ,196 ,--,--,--,246 ,242 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,465 ,"2,667 ","1,094 ","1,092 ","1,092 ","25,055 ","1,173 ","1,173 ","1,173 ",--,--,--,"1,683 ","1,670 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCI Electric Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.10 F,--,--,--,THB 0.05 F,--,--,--,THB 0.05 F,--,--,--,THB 0.05 F,--,--,--,THB 0.02 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--
,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
